ptype,pdtype,stype,ltype,issue,,,,,,,,get1_hz,get1_level,get2_hz,get2_level,get3_hz,get3_level,get4_hz,get4_level,get5_hz,get5_level,get6_hz,get6_level,get7_hz,get7_level,get8_hz,get8_level,get9_hz,get9_level,get10_hz,get10_level,0hz,10hz,20hz,30hz,40hz,50hz,60hz,70hz,80hz,90hz,100hz,110hz,120hz,130hz,140hz,150hz,160hz,170hz,180hz,190hz,200hz,210hz,220hz,230hz,240hz,250hz,260hz,270hz,280hz,290hz,300hz,310hz,320hz,330hz,340hz,350hz,360hz,370hz,380hz,390hz,400hz,410hz,420hz,430hz,440hz,450hz,460hz,470hz,480hz,490hz,500hz,510hz,520hz,530hz,540hz,550hz,560hz,570hz,580hz,590hz,600hz,610hz,620hz,630hz,640hz,650hz,660hz,670hz,680hz,690hz,700hz,710hz,720hz,730hz,740hz,750hz,760hz,770hz,780hz,790hz,800hz,810hz,820hz,830hz,840hz,850hz,860hz,870hz,880hz,890hz,900hz,910hz,920hz,930hz,940hz,950hz,960hz,970hz,980hz,990hz,1000hz,1010hz,1020hz,1030hz,1040hz,1050hz,1060hz,1070hz,1080hz,1090hz,1100hz,1110hz,1120hz,1130hz,1140hz,1150hz,1160hz,1170hz,1180hz,1190hz,1200hz,1210hz,1220hz,1230hz,1240hz,1250hz,1260hz,1270hz,1280hz,1290hz,1300hz,1310hz,1320hz,1330hz,1340hz,1350hz,1360hz,1370hz,1380hz,1390hz,1400hz,1410hz,1420hz,1430hz,1440hz,1450hz,1460hz,1470hz,1480hz,1490hz,1500hz,1510hz,1520hz,1530hz,1540hz,1550hz,1560hz,1570hz,1580hz,1590hz,1600hz,1610hz,1620hz,1630hz,1640hz,1650hz,1660hz,1670hz,1680hz,1690hz,1700hz,1710hz,1720hz,1730hz,1740hz,1750hz,1760hz,1770hz,1780hz,1790hz,1800hz,1810hz,1820hz,1830hz,1840hz,1850hz,1860hz,1870hz,1880hz,1890hz,1900hz,1910hz,1920hz,1930hz,1940hz,1950hz,1960hz,1970hz,1980hz,1990hz,2000hz,2010hz,2020hz,2030hz,2040hz,2050hz,2060hz,2070hz,2080hz,2090hz,2100hz,2110hz,2120hz,2130hz,2140hz,2150hz,2160hz,2170hz,2180hz,2190hz,2200hz,2210hz,2220hz,2230hz,2240hz,2250hz,2260hz,2270hz,2280hz,2290hz,2300hz,2310hz,2320hz,2330hz,2340hz,2350hz,2360hz,2370hz,2380hz,2390hz,2400hz,2410hz,2420hz,2430hz,2440hz,2450hz,2460hz,2470hz,2480hz,2490hz,2500hz,2510hz,2520hz,2530hz,2540hz,2550hz,2560hz,2570hz,2580hz,2590hz,2600hz,2610hz,2620hz,2630hz,2640hz,2650hz,2660hz,2670hz,2680hz,2690hz,2700hz,2710hz,2720hz,2730hz,2740hz,2750hz,2760hz,2770hz,2780hz,2790hz,2800hz,2810hz,2820hz,2830hz,2840hz,2850hz,2860hz,2870hz,2880hz,2890hz,2900hz,2910hz,2920hz,2930hz,2940hz,2950hz,2960hz,2970hz,2980hz,2990hz,3000hz,3010hz,3020hz,3030hz,3040hz,3050hz,3060hz,3070hz,3080hz,3090hz,3100hz,3110hz,3120hz,3130hz,3140hz,3150hz,3160hz,3170hz,3180hz,3190hz,3200hz,3210hz,3220hz,3230hz,3240hz,3250hz,3260hz,3270hz,3280hz,3290hz,3300hz,3310hz,3320hz,3330hz,3340hz,3350hz,3360hz,3370hz,3380hz,3390hz,3400hz,3410hz,3420hz,3430hz,3440hz,3450hz,3460hz,3470hz,3480hz,3490hz,3500hz,3510hz,3520hz,3530hz,3540hz,3550hz,3560hz,3570hz,3580hz,3590hz,3600hz,3610hz,3620hz,3630hz,3640hz,3650hz,3660hz,3670hz,3680hz,3690hz,3700hz,3710hz,3720hz,3730hz,3740hz,3750hz,3760hz,3770hz,3780hz,3790hz,3800hz,3810hz,3820hz,3830hz,3840hz,3850hz,3860hz,3870hz,3880hz,3890hz,3900hz,3910hz,3920hz,3930hz,3940hz,3950hz,3960hz,3970hz,3980hz,3990hz,4000hz,4010hz,4020hz,4030hz,4040hz,4050hz,4060hz,4070hz,4080hz,4090hz,4100hz,4110hz,4120hz,4130hz,4140hz,4150hz,4160hz,4170hz,4180hz,4190hz,4200hz,4210hz,4220hz,4230hz,4240hz,4250hz,4260hz,4270hz,4280hz,4290hz,4300hz,4310hz,4320hz,4330hz,4340hz,4350hz,4360hz,4370hz,4380hz,4390hz,4400hz,4410hz,4420hz,4430hz,4440hz,4450hz,4460hz,4470hz,4480hz,4490hz,4500hz,4510hz,4520hz,4530hz,4540hz,4550hz,4560hz,4570hz,4580hz,4590hz,4600hz,4610hz,4620hz,4630hz,4640hz,4650hz,4660hz,4670hz,4680hz,4690hz,4700hz,4710hz,4720hz,4730hz,4740hz,4750hz,4760hz,4770hz,4780hz,4790hz,4800hz,4810hz,4820hz,4830hz,4840hz,4850hz,4860hz,4870hz,4880hz,4890hz,4900hz,4910hz,4920hz,4930hz,4940hz,4950hz,4960hz,4970hz,4980hz,4990hz,5000hz,5010hz,5020hz,5030hz,5040hz,5050hz,5060hz,5070hz,5080hz,5090hz,5100hz,5110hz,5120hz
0,5,2,2,전기음,,,,,,,,320,182,320,337,320,309,320,400,320,227,330,192,330,248,320,240,330,172,320,537,0,3,3,4,3,4,3,4,3,4,4,4,4,6,10,11,8,11,13,14,13,15,17,17,16,16,20,28,31,41,61,123,270,194,86,47,34,24,20,13,12,11,10,12,12,11,10,8,6,7,5,5,4,4,5,5,5,4,4,4,5,6,6,5,4,5,4,4,5,4,4,4,4,5,4,5,5,4,4,4,5,5,5,4,5,4,4,5,4,5,5,5,5,5,5,6,6,6,6,5,4,6,5,5,6,6,5,5,4,5,5,4,4,6,4,5,6,4,5,5,4,5,5,5,6,4,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,4,4,5,6,5,5,5,5,5,5,5,4,4,5,5,4,5,5,6,6,6,5,4,5,5,5,5,5,4,5,5,4,4,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,6,6,5,5,6,4,6,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,4,5,4,5,4,5,4,5,6,6,5,5,5,5,5,5,6,5,5,6,5,4,5,5,5,5,5,4,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,6,5,6,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,4,4,5,5,4,5,4,6,4,4,5,5,6,6,5,6,5,6,5,5,6,6,5,6,4,4,5,5,5,6,5,5,4,5,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,6,5,5,5,4,5,5,5,4,6,5,4,5,4,4,6,5,5,5,6,5,5,6,5,5,5,4,5,5,4,5,6,5,5,5,5,5,5,6,4,5,5,5,6,4,4,4,5,5,6,5,4,6,5,6,5,4,6,6,6,5,5,5,6,6,5,5,5,5,5,5,6,5,5,5,5,5,4,6,5,6,5,6,6,6,5,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,6,5,5,5,6,5,5,6,5,5,4,5,5,6,5,5,4,5,5,5,5,6,4,5,6,5,5,5,5,5,5,4,5,4,5,5,5,5,4,5,4,6,5,5,5,5,5,5,5,6,5,6,6,6,5,6,5,5,6,5,5,6,5,6,4,6,4,5,6,5,6,5,5,5
1,9,2,0,옥내누수,,,,,,,,330,50,370,45,390,59,330,551,380,29,320,52,320,34,330,621,400,73,330,24,0,4,4,6,5,5,6,6,8,9,12,10,19,14,9,10,7,9,9,12,14,14,14,15,21,22,22,29,25,25,33,46,105,139,54,70,55,65,57,58,53,38,44,26,21,17,17,15,13,10,12,8,13,10,11,11,7,12,11,8,8,9,10,10,9,7,7,7,8,8,7,8,9,8,9,9,8,10,10,8,9,10,10,8,8,10,8,10,8,10,10,10,11,9,12,14,13,14,14,17,19,13,16,15,14,14,17,14,12,9,14,11,9,10,11,10,10,11,9,9,10,10,7,8,6,7,8,9,8,8,8,9,9,7,7,7,8,6,7,7,7,7,7,8,7,8,8,8,7,8,7,6,6,7,8,7,8,8,7,9,8,8,7,7,8,9,7,8,10,8,9,10,8,9,9,7,8,9,8,8,8,7,8,8,8,7,6,7,7,8,8,7,6,6,7,7,7,7,6,6,6,6,6,6,6,6,6,7,7,7,6,5,7,6,7,6,7,7,7,6,6,5,7,7,6,7,6,6,7,6,7,7,7,7,7,8,6,7,7,7,7,7,7,5,6,5,6,7,7,5,6,5,7,7,6,5,6,6,6,6,6,6,6,5,5,5,5,6,6,7,6,5,6,6,6,6,7,7,5,7,5,7,5,5,6,7,5,5,7,5,5,5,6,6,5,5,5,6,5,5,7,6,6,6,7,5,7,7,5,6,7,7,7,6,7,7,6,6,6,6,6,5,7,4,7,7,5,5,5,5,5,7,5,5,7,5,5,6,5,7,6,6,7,5,5,5,5,6,5,6,5,7,5,6,5,6,7,6,5,5,6,6,6,5,6,5,5,5,5,5,7,4,5,5,5,5,5,6,6,5,5,7,6,6,5,5,6,6,5,5,7,7,6,6,5,6,5,5,7,6,5,7,5,6,5,6,5,7,6,5,5,5,6,5,7,5,5,5,5,6,6,6,7,5,6,7,6,5,6,6,5,6,5,6,5,5,6,5,5,5,5,5,5,6,5,5,6,6,7,6,5,5,6,5,5,5,5,6,5,7,7,5,6,7,7,5,6,6,6,5,5,7,6,7,7,5,5,5,6,5,6,5,7,5,5,6,6,6,6,5,7,6,5,6,5,5,5,6,5,6,6,6,6,6,6,6,6,7,5,6,5,7,5
0,1,2,3,유속음(동계로13번길 3 옥내 영향),,,,,,,,290,255,290,147,290,246,290,217,290,284,290,337,290,126,290,245,290,255,290,158,0,4,4,4,4,4,4,4,4,4,4,8,12,10,8,5,5,8,13,15,10,12,13,12,19,17,18,25,64,227,101,47,28,19,12,8,7,6,8,9,10,8,5,4,5,4,4,4,4,4,4,5,4,4,4,5,5,4,5,5,5,5,5,4,5,4,4,4,4,5,6,4,5,5,4,5,5,5,4,5,5,4,5,5,5,4,5,4,5,4,6,5,5,5,5,5,6,5,5,5,5,6,5,5,6,5,6,4,6,4,4,5,6,4,6,5,5,5,4,5,6,4,5,5,5,6,5,5,5,5,5,5,5,6,6,5,5,5,6,5,5,5,5,5,6,5,5,4,6,5,6,4,6,6,5,4,4,4,4,5,5,4,5,5,5,5,5,5,5,4,4,5,4,6,5,6,5,5,4,4,5,5,5,4,5,4,5,6,7,5,5,4,5,5,6,4,5,5,4,5,5,5,4,4,5,6,4,5,5,5,5,5,4,6,5,6,5,5,4,5,5,5,5,4,6,5,6,5,6,5,5,5,6,4,6,4,5,4,5,6,5,4,5,4,4,5,4,4,4,6,5,4,5,5,6,5,5,5,4,5,6,5,6,4,5,5,5,4,6,5,5,6,5,5,5,6,5,4,4,5,5,5,7,4,5,5,5,6,6,6,6,5,4,6,4,6,5,5,5,5,4,6,6,5,4,5,5,5,5,5,4,5,5,4,5,5,4,6,5,5,6,4,6,5,5,6,5,6,6,5,5,5,5,5,5,5,4,4,5,5,5,5,6,5,6,6,4,6,5,5,4,5,6,6,5,4,5,5,5,6,5,5,5,4,4,5,5,5,5,5,4,5,7,5,6,6,6,4,5,5,5,5,4,6,5,5,5,5,5,5,5,6,5,6,5,5,6,6,4,5,4,5,5,4,5,4,4,5,4,5,6,4,5,5,5,6,5,5,5,5,5,4,6,5,5,5,5,6,5,5,5,5,6,5,6,4,6,5,5,6,7,6,5,6,5,5,5,5,5,6,4,5,5,5,4,6,5,6,6,6,6,6,4,5,6,5,5,6,5,6,6,5,7,5,5,4,5,5,6,6,7,5,6,5,5,4,4,5,5,6,5,5,5,6,6,4,5,6,5,5,5,5,5,5,4,6,4,5,5,7,6,6,5
1,9,2,0,옥내누수,,,,,,,,330,128,330,144,330,121,330,200,340,184,340,164,340,206,330,176,330,87,330,126,0,3,4,4,5,4,4,4,4,5,5,4,10,9,13,7,5,5,7,7,12,13,7,6,7,7,9,9,8,11,15,23,43,133,129,41,17,11,9,8,7,7,6,7,6,6,5,5,6,4,6,6,5,5,7,5,5,6,5,5,5,5,5,5,6,6,4,6,5,6,5,6,5,6,5,5,5,6,5,5,5,5,6,5,5,5,6,5,5,5,5,6,5,6,5,5,6,5,6,7,6,6,5,6,6,5,6,6,6,6,5,6,6,6,6,5,5,6,6,6,5,6,6,6,6,6,6,6,5,5,6,5,6,7,6,5,5,6,6,6,5,6,5,5,5,6,5,6,6,5,6,7,6,6,6,5,5,5,6,6,5,5,5,6,6,6,6,5,5,6,5,7,5,6,6,6,5,7,6,6,6,6,5,7,6,6,6,6,6,6,5,6,6,6,5,5,5,6,6,6,6,6,5,6,6,5,5,5,6,6,7,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,7,6,6,6,7,7,5,6,6,6,6,6,5,6,6,6,6,6,6,5,5,5,6,6,5,6,5,5,7,7,7,6,6,6,6,5,6,6,6,6,6,6,5,6,5,6,6,5,6,5,6,7,6,6,6,6,6,6,5,6,6,5,6,6,5,7,6,5,5,6,5,6,6,5,5,6,6,6,6,6,6,5,6,6,6,5,6,6,6,6,5,6,6,6,6,7,6,5,7,5,5,5,5,7,6,6,5,5,6,5,6,5,5,5,5,5,6,5,7,6,5,5,6,6,6,6,6,6,5,6,6,6,6,5,5,5,6,6,6,4,5,6,6,5,5,5,6,6,7,6,6,5,5,6,6,6,6,6,6,6,5,5,6,6,6,7,6,6,6,5,6,6,5,5,6,6,6,6,5,6,6,5,6,5,5,6,6,6,6,6,6,7,6,7,9,7,7,6,6,6,6,6,5,6,5,6,5,6,5,5,6,5,6,5,6,5,7,6,6,6,6,6,6,6,6,7,6,5,5,6,7,5,7,6,6,6,5,5,6,6,5,7,6,6,6,6,6,6,6,6,6,5,7,7,5,6,6,6,6,7,7,5,5,6,5,6,6,6,6,5,6,7,6,6,7,7,6,6,7,5,6,7,6,6
1,9,2,0,옥내누수,,,,,,,,300,307,300,568,300,436,300,338,300,398,300,318,300,297,300,297,300,359,300,383,0,4,3,3,4,4,4,4,6,4,4,7,30,13,12,6,6,7,6,7,10,17,15,13,23,23,35,39,70,128,370,138,57,44,29,20,15,15,13,10,13,12,10,9,7,6,4,6,4,4,4,6,4,4,3,4,6,4,6,4,4,4,4,3,4,4,4,4,4,6,4,6,4,4,4,6,4,4,4,4,4,4,4,6,6,6,6,6,6,4,9,4,6,4,4,6,4,6,6,6,6,6,6,4,6,6,4,4,4,4,4,4,4,6,6,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,6,6,4,4,4,4,4,6,6,4,6,3,4,4,6,4,4,6,6,6,4,4,4,6,4,4,4,4,4,4,4,6,4,4,4,6,6,4,6,6,4,6,4,6,6,4,4,4,4,6,4,4,6,6,6,6,6,6,6,4,4,4,4,4,6,4,4,4,4,4,6,6,4,6,6,6,6,6,4,6,4,4,6,4,4,6,4,6,6,6,6,4,4,4,4,6,4,6,6,4,4,4,6,4,4,4,6,4,4,4,6,6,6,6,4,4,4,4,6,6,4,4,6,4,6,6,6,4,6,4,6,6,4,4,4,4,6,4,6,6,6,6,6,4,6,4,6,6,4,6,4,6,6,6,6,4,4,6,4,4,4,6,6,4,6,4,6,6,4,6,6,6,4,6,4,6,6,7,6,4,6,4,6,6,4,4,6,4,6,6,4,6,6,4,4,4,4,4,6,4,6,4,4,4,6,6,6,6,6,4,6,4,6,4,6,4,4,6,4,4,4,6,4,6,4,4,4,4,6,4,6,6,4,6,6,6,6,4,6,4,4,4,6,4,6,4,4,4,6,6,4,6,4,6,6,6,4,4,4,6,4,6,4,4,4,4,6,4,4,6,4,6,4,4,6,6,4,6,4,6,6,6,7,6,6,6,6,6,6,6,4,6,6,6,4,6,4,6,4,4,6,4,4,4,6,4,4,4,6,4,6,6,6,4,6,4,6,4,6,4,6,6,4,4,4,6,4,6,4,4,6,4,4,6,6,6,6,6,4,4,6,4,4,6,6,4,6,6,6,6,6,4,4,4,4,6,6,6,6,6,6,7,6,6,6,6,6,6,6,4,6,6,4,6,6,6,6,6,6,6,4,4
0,3,2,4,유속음 (배관떨리는 음) / 정상음,,,,,,,,310,615,310,609,310,678,310,864,310,534,310,832,310,895,310,838,310,683,310,584,0,3,0,3,3,3,3,3,3,3,3,8,11,8,17,36,62,28,17,20,17,14,22,25,28,28,50,56,84,159,344,713,126,117,64,48,45,34,34,25,14,6,8,6,8,11,14,8,6,6,6,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,14,11,6,6,6,6,6,8,8,6,6,8,11,14,20,53,36,22,17,11,8,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,8,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0,1,2,4,유속음 / 정상음,,,,,,,,330,771,330,690,330,629,340,645,340,682,330,656,330,717,330,452,330,547,340,416,0,2,2,0,2,0,2,0,2,2,2,2,2,2,2,2,5,7,9,9,18,46,41,25,25,25,27,37,64,75,75,126,185,583,558,247,185,82,66,53,39,25,21,18,14,18,14,11,9,9,5,5,5,2,5,7,5,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,7,7,9,14,14,9,9,11,11,16,16,21,23,30,48,64,62,46,50,30,21,21,16,11,9,7,7,9,7,5,5,5,2,5,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,7,7,7,7,7,9,11,14,14,16,14,11,11,9,9,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,5,5,5,5,5,5,5,7,5,5,5,5,5,5,5,2,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2
0,3,2,4,유속음 / 정상음,,,,,,,,330,693,330,974,330,681,320,687,340,810,330,632,330,789,330,944,330,652,330,913,0,0,3,0,3,3,0,0,3,0,3,3,3,3,6,6,3,6,6,9,11,17,26,26,23,26,34,34,49,57,95,149,296,732,511,230,126,80,57,37,40,40,46,32,23,20,17,11,11,11,6,9,6,6,6,6,6,3,3,3,3,3,3,3,3,3,0,3,3,0,3,0,0,3,3,3,3,3,3,3,3,6,3,3,3,6,6,9,11,14,14,11,17,14,17,23,32,52,86,98,126,89,63,46,26,20,17,17,17,17,11,11,11,9,6,6,6,3,3,6,3,3,3,3,3,0,0,3,3,0,3,3,3,0,3,3,0,3,3,0,0,3,3,0,0,3,3,3,3,3,3,3,3,3,6,6,9,9,9,9,9,11,17,23,34,32,40,34,29,23,23,11,11,9,9,9,6,9,6,6,6,3,3,3,3,3,3,0,3,3,3,3,3,3,3,0,0,0,3,3,3,3,0,3,0,3,0,0,3,0,3,0,3,3,3,3,3,3,3,3,3,3,3,3,9,6,6,6,9,9,11,14,14,11,11,9,11,9,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,0,3,0,0,3,0,3,3,0,0,3,3,3,0,3,3,0,3,0,0,0,3,0,0,3,3,3,3,3,3,3,3,6,3,6,6,6,3,6,3,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,0,3,3,0,0,3,3,3,3,3,3,3,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0,3,3,3,0,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,3,3,3,3,3,3
0,0,2,4,소리없음 / 정상음,,,,,,,,330,738,330,767,340,554,330,571,340,531,330,750,330,737,330,755,330,688,330,486,0,2,2,2,2,2,2,2,2,2,2,5,5,5,5,7,10,10,10,12,17,19,24,24,29,36,36,48,70,68,116,164,324,616,415,227,157,128,126,99,80,56,51,68,80,48,31,29,24,22,19,14,12,12,10,10,7,7,7,10,10,7,5,5,5,5,5,2,5,5,2,2,2,2,2,2,2,2,2,2,5,2,5,7,7,5,7,7,10,10,12,14,17,19,19,27,31,41,60,65,72,65,51,46,36,39,29,29,19,24,29,19,14,14,14,12,10,10,7,7,5,5,5,5,5,2,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,5,5,5,5,5,5,7,10,10,12,12,14,14,19,19,14,14,17,14,10,12,12,7,10,10,7,7,5,7,7,5,5,2,5,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,0,2,2,2,2,2,2,0,2,0,2,2,0,2,0,2,2,0,2,2,2,0,2,2,2,2,2,0,0,2,0,0,2,2,2,2,2,2,2,0,2,0,2,2,2,0,2,2,0,2,2,2,0,0,2,2,2,2,2,0,0,2,2,0,2,0,2,0,2,0,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,0,2,2,2,2,2,0,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,1,2,4,소리없음 / 정상음,,,,,,,,330,1057,330,895,330,968,330,1129,330,786,330,1109,330,927,330,1008,330,996,330,1044,0,4,8,8,8,8,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,8,12,19,27,35,35,43,47,62,140,992,440,230,140,78,47,23,16,12,12,8,8,4,4,4,0,4,0,0,0,4,0,4,0,4,4,4,8,8,12,19,19,12,4,0,4,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,4,4,8,8,19,31,47,105,167,101,47,27,12,12,8,4,8,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,12,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,12,16,31,47,43,31,19,12,8,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,16,16,19,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
