,score,activation,hidden_layer_sizes,learning_rate_init,max_iter,solver
0,0.5876499505591614,logistic,"(100, 25)",0.0001,400,adam
1,0.5895386810702512,logistic,"(100, 25)",0.0001,500,adam
2,0.575468272846682,logistic,"(100, 25)",0.001,400,adam
3,0.5747983100720296,logistic,"(100, 25)",0.001,500,adam
4,0.5870142033839222,logistic,"(150, 35)",0.0001,400,adam
5,0.5875043602232322,logistic,"(150, 35)",0.0001,500,adam
6,0.5748179002172907,logistic,"(150, 35)",0.001,400,adam
7,0.5751961733176114,logistic,"(150, 35)",0.001,500,adam
8,0.5870016774421855,logistic,"(200, 50)",0.0001,400,adam
9,0.5858332500162738,logistic,"(200, 50)",0.0001,500,adam
10,0.5765934308152554,logistic,"(200, 50)",0.001,400,adam
11,0.5775689793622946,logistic,"(200, 50)",0.001,500,adam
