,score,activation,hidden_layer_sizes,learning_rate_init,max_iter,solver
0,0.666046059575369,logistic,"(100, 25)",0.0001,400,adam
1,0.666965922785834,logistic,"(100, 25)",0.0001,500,adam
2,0.6143343868853496,logistic,"(100, 25)",0.001,400,adam
3,0.6039496253005451,logistic,"(100, 25)",0.001,500,adam
4,0.6647479941899934,logistic,"(150, 35)",0.0001,400,adam
5,0.6649883475669915,logistic,"(150, 35)",0.0001,500,adam
6,0.6393271987693939,logistic,"(150, 35)",0.001,400,adam
7,0.6326120109986062,logistic,"(150, 35)",0.001,500,adam
8,0.6637111188764463,logistic,"(200, 50)",0.0001,400,adam
9,0.6618124045771072,logistic,"(200, 50)",0.0001,500,adam
10,0.6221393864011413,logistic,"(200, 50)",0.001,400,adam
11,0.625917965272119,logistic,"(200, 50)",0.001,500,adam
