,score,activation,hidden_layer_sizes,learning_rate_init,max_iter,solver
0,0.6099844636557606,logistic,"(100, 25)",0.0001,400,adam
1,0.717538855598589,logistic,"(100, 25)",0.0001,500,adam
2,0.8125071017622272,logistic,"(100, 25)",0.001,400,adam
3,0.815523193267899,logistic,"(100, 25)",0.001,500,adam
4,0.6987278743699422,logistic,"(150, 35)",0.0001,400,adam
5,0.8099590192872939,logistic,"(150, 35)",0.0001,500,adam
6,0.812979833189728,logistic,"(150, 35)",0.001,400,adam
7,0.8163316814084828,logistic,"(150, 35)",0.001,500,adam
8,0.7855513238744083,logistic,"(200, 50)",0.0001,400,adam
9,0.8205733599780112,logistic,"(200, 50)",0.0001,500,adam
10,0.8121853419993021,logistic,"(200, 50)",0.001,400,adam
11,0.8124061510783683,logistic,"(200, 50)",0.001,500,adam
