,score,activation,hidden_layer_sizes,max_iter,solver
0,0.6285186671187073,logistic,"(100,)",400,adam
1,0.6266700970805398,logistic,"(100,)",500,adam
2,0.6407703580877453,logistic,"(150,)",400,adam
3,0.6235747872491323,logistic,"(150,)",500,adam
4,0.6295565012468602,logistic,"(200,)",400,adam
5,0.631808530302867,logistic,"(200,)",500,adam
6,0.625698371321661,relu,"(100,)",400,adam
7,0.6110398726984722,relu,"(100,)",500,adam
8,0.6083240357623501,relu,"(150,)",400,adam
9,0.6114796238636016,relu,"(150,)",500,adam
10,0.6175830519371736,relu,"(200,)",400,adam
11,0.6144398936373341,relu,"(200,)",500,adam
12,0.5743217026525718,identity,"(100,)",400,adam
13,0.5863578359033347,identity,"(100,)",500,adam
14,0.5792306030861267,identity,"(150,)",400,adam
15,0.592799710060099,identity,"(150,)",500,adam
16,0.5900714493619337,identity,"(200,)",400,adam
17,0.5983682905355125,identity,"(200,)",500,adam
