,score,activation,hidden_layer_sizes,max_iter,solver
0,0.8351082514512405,logistic,"(100,)",400,adam
1,0.8353401801881981,logistic,"(100,)",500,adam
2,0.8352187253454953,logistic,"(150,)",400,adam
3,0.8347933198617421,logistic,"(150,)",500,adam
4,0.8352151352908785,logistic,"(200,)",400,adam
5,0.8341741159570792,logistic,"(200,)",500,adam
6,0.8228799674174585,relu,"(100,)",400,adam
7,0.8264114835471282,relu,"(100,)",500,adam
8,0.816791186716182,relu,"(150,)",400,adam
9,0.8256339359039846,relu,"(150,)",500,adam
10,0.8157158729359557,relu,"(200,)",400,adam
11,0.8250848127009227,relu,"(200,)",500,adam
12,0.8246620477359212,identity,"(100,)",400,adam
13,0.8192242241485073,identity,"(100,)",500,adam
14,0.811798317741285,identity,"(150,)",400,adam
15,0.8148479536240633,identity,"(150,)",500,adam
16,0.8116272984548745,identity,"(200,)",400,adam
17,0.8177727012513734,identity,"(200,)",500,adam
