,score,bootstrap,criterion,max_features,n_estimators
0,0.5628455436841466,True,gini,sqrt,10
1,0.5846923084742314,True,gini,sqrt,50
2,0.587951182425752,True,gini,sqrt,100
3,0.5428070420300465,True,gini,log2,10
4,0.5545960934312322,True,gini,log2,50
5,0.5576101515577295,True,gini,log2,100
6,0.6106165548782055,True,gini,,10
7,0.6396666868281276,True,gini,,50
8,0.6448545295005507,True,gini,,100
9,0.5616197440473185,True,entropy,sqrt,10
10,0.5877436570503304,True,entropy,sqrt,50
11,0.5940640291430684,True,entropy,sqrt,100
12,0.5481186715762992,True,entropy,log2,10
13,0.5598626944693624,True,entropy,log2,50
14,0.5588344521493065,True,entropy,log2,100
15,0.6133055272474857,True,entropy,,10
16,0.6413871349242535,True,entropy,,50
17,0.6472891526121124,True,entropy,,100
18,0.5743472975832485,False,gini,sqrt,10
19,0.5993230817005432,False,gini,sqrt,50
20,0.6026717044962402,False,gini,sqrt,100
21,0.5520619774497749,False,gini,log2,10
22,0.5681335620096497,False,gini,log2,50
23,0.5731571298927176,False,gini,log2,100
24,0.6011683988274927,False,gini,,10
25,0.6020280217717286,False,gini,,50
26,0.6029631585704932,False,gini,,100
27,0.5807240961477901,False,entropy,sqrt,10
28,0.6043747318242985,False,entropy,sqrt,50
29,0.61018968279014,False,entropy,sqrt,100
30,0.5567713854547935,False,entropy,log2,10
31,0.575785095845193,False,entropy,log2,50
32,0.5772851150443655,False,entropy,log2,100
33,0.6001388977835014,False,entropy,,10
34,0.6031878403287548,False,entropy,,50
35,0.6038190666250215,False,entropy,,100
