,score,C,gamma,kernel,shrinking
0,0.46150822632350386,1.0,scale,poly,False
1,0.46150822632350386,1.0,scale,poly,True
2,0.4520615958716967,1.0,scale,rbf,False
3,0.4520615958716967,1.0,scale,rbf,True
4,0.4865769426638027,1.0,scale,sigmoid,False
5,0.4865769426638027,1.0,scale,sigmoid,True
6,0.5670167679356752,1.0,auto,poly,False
7,0.5670167679356752,1.0,auto,poly,True
8,0.3922901815149318,1.0,auto,rbf,False
9,0.3922901815149318,1.0,auto,rbf,True
10,0.3922901815149318,1.0,auto,sigmoid,False
11,0.3922901815149318,1.0,auto,sigmoid,True
12,0.44859989339050815,0.5,scale,poly,False
13,0.44859989339050815,0.5,scale,poly,True
14,0.4269874358544012,0.5,scale,rbf,False
15,0.4269874358544012,0.5,scale,rbf,True
16,0.4547656575232735,0.5,scale,sigmoid,False
17,0.4547656575232735,0.5,scale,sigmoid,True
18,0.5670167679356752,0.5,auto,poly,False
19,0.5670167679356752,0.5,auto,poly,True
20,0.3922901815149318,0.5,auto,rbf,False
21,0.3922901815149318,0.5,auto,rbf,True
22,0.3922901815149318,0.5,auto,sigmoid,False
23,0.3922901815149318,0.5,auto,sigmoid,True
24,0.43518227854898794,0.2,scale,poly,False
25,0.43518227854898794,0.2,scale,poly,True
26,0.3941385068087625,0.2,scale,rbf,False
27,0.3941385068087625,0.2,scale,rbf,True
28,0.3966115335228493,0.2,scale,sigmoid,False
29,0.3966115335228493,0.2,scale,sigmoid,True
30,0.5670167679356752,0.2,auto,poly,False
31,0.5670167679356752,0.2,auto,poly,True
32,0.3922901815149318,0.2,auto,rbf,False
33,0.3922901815149318,0.2,auto,rbf,True
34,0.3922901815149318,0.2,auto,sigmoid,False
35,0.3922901815149318,0.2,auto,sigmoid,True
