,score,C,gamma,kernel,shrinking
0,0.4462966476121526,1.0,scale,poly,False
1,0.4462966476121526,1.0,scale,poly,True
2,0.42466362620787423,1.0,scale,rbf,False
3,0.42466362620787423,1.0,scale,rbf,True
4,0.5188516413605254,1.0,scale,sigmoid,False
5,0.5188516413605254,1.0,scale,sigmoid,True
6,0.6207306641274627,1.0,auto,poly,False
7,0.6207306641274627,1.0,auto,poly,True
8,0.39081211536301363,1.0,auto,rbf,False
9,0.39081211536301363,1.0,auto,rbf,True
10,0.39081211536301363,1.0,auto,sigmoid,False
11,0.39081211536301363,1.0,auto,sigmoid,True
12,0.42650433019105155,0.5,scale,poly,False
13,0.42650433019105155,0.5,scale,poly,True
14,0.39539097428025644,0.5,scale,rbf,False
15,0.39539097428025644,0.5,scale,rbf,True
16,0.3913071199464687,0.5,scale,sigmoid,False
17,0.3913071199464687,0.5,scale,sigmoid,True
18,0.6207306641274627,0.5,auto,poly,False
19,0.6207306641274627,0.5,auto,poly,True
20,0.39081211536301363,0.5,auto,rbf,False
21,0.39081211536301363,0.5,auto,rbf,True
22,0.39081211536301363,0.5,auto,sigmoid,False
23,0.39081211536301363,0.5,auto,sigmoid,True
24,0.4011802273372269,0.2,scale,poly,False
25,0.4011802273372269,0.2,scale,poly,True
26,0.39081211536301363,0.2,scale,rbf,False
27,0.39081211536301363,0.2,scale,rbf,True
28,0.39081211536301363,0.2,scale,sigmoid,False
29,0.39081211536301363,0.2,scale,sigmoid,True
30,0.6207306641274627,0.2,auto,poly,False
31,0.6207306641274627,0.2,auto,poly,True
32,0.39081211536301363,0.2,auto,rbf,False
33,0.39081211536301363,0.2,auto,rbf,True
34,0.39081211536301363,0.2,auto,sigmoid,False
35,0.39081211536301363,0.2,auto,sigmoid,True
