[0,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.537230               25
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.538766               21
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.576739                1
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.573290                5
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.551127               13
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.558781                9
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.535740               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.545805               17
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.537230               25
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.538766               21
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.576739                1
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.573290                5
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.551127               13
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.558781                9
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.535740               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.545805               17
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.537230               25
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.538766               21
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.576739                1
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.573290                5
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.551127               13
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.558781                9
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.535740               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.545805               17
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.537230               25
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.538766               21
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.576739                1
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.573290                5
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.551127               13
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.558781                9
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.535740               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.545805               17, 1,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.524969               17
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.523405               25
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.543389                1
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.538685                5
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.533542                9
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.525738               13
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.516917               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.524476               21
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.524969               17
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.523405               25
