,score,activation,hidden_layer_sizes,max_iter,solver,highest_score
0,0.5909852096761016,logistic,"(100,)",400,adam,0.5909852096761016
1,0.594284855321877,logistic,"(100,)",500,adam,0.594284855321877
2,0.5747447864958075,logistic,"(150,)",400,adam,0.5747447864958075
3,0.5809222016144868,logistic,"(150,)",500,adam,0.5809222016144868
4,0.5784274108017008,logistic,"(200,)",400,adam,0.5784274108017008
5,0.5773865058113855,logistic,"(200,)",500,adam,0.5773865058113855
6,0.5628110196518166,relu,"(100,)",400,adam,0.5628110196518166
7,0.5613357069805659,relu,"(100,)",500,adam,0.5613357069805659
8,0.57298610012772,relu,"(150,)",400,adam,0.57298610012772
9,0.5622543280030521,relu,"(150,)",500,adam,0.5622543280030521
10,0.5601468357991571,relu,"(200,)",400,adam,0.5601468357991571
11,0.5570989935788789,relu,"(200,)",500,adam,0.5570989935788789
12,0.5547201934156655,identity,"(100,)",400,adam,0.5547201934156655
13,0.5688541570097823,identity,"(100,)",500,adam,0.5688541570097823
14,0.5402955546560751,identity,"(150,)",400,adam,0.5402955546560751
15,0.5700901481547264,identity,"(150,)",500,adam,0.5700901481547264
16,0.5510102695220307,identity,"(200,)",400,adam,0.5510102695220307
17,0.5714325522003861,identity,"(200,)",500,adam,0.5714325522003861
