,score,C,gamma,kernel,shrinking,highest_score
0,0.3960881137987029,1.0,scale,poly,False,0.4150697773599434
1,0.3960881137987029,1.0,scale,poly,True,0.4150697773599434
2,0.5589602804704376,1.0,scale,rbf,False,0.5981080669360219
3,0.5589602804704376,1.0,scale,rbf,True,0.5981080669360219
4,0.5479279610055559,1.0,scale,sigmoid,False,0.5691796508144694
5,0.5479279610055559,1.0,scale,sigmoid,True,0.5691796508144694
6,0.34602940641853086,1.0,auto,poly,False,0.3460294064185309
7,0.34602940641853086,1.0,auto,poly,True,0.3460294064185309
8,0.34863245762067174,1.0,auto,rbf,False,0.3607403061594454
9,0.34863245762067174,1.0,auto,rbf,True,0.3607403061594454
10,0.345951853400869,1.0,auto,sigmoid,False,0.351712027890626
11,0.345951853400869,1.0,auto,sigmoid,True,0.351712027890626
12,0.3884858029688229,0.5,scale,poly,False,0.4085322036773641
13,0.3884858029688229,0.5,scale,poly,True,0.4085322036773641
14,0.5508267356393743,0.5,scale,rbf,False,0.5975479555611941
15,0.5508267356393743,0.5,scale,rbf,True,0.5975479555611941
16,0.5433009375829532,0.5,scale,sigmoid,False,0.5921387429533297
17,0.5433009375829532,0.5,scale,sigmoid,True,0.5921387429533297
18,0.34602940641853086,0.5,auto,poly,False,0.3460294064185309
19,0.34602940641853086,0.5,auto,poly,True,0.3460294064185309
20,0.345900204901888,0.5,auto,rbf,False,0.3460294064185309
21,0.345900204901888,0.5,auto,rbf,True,0.3460294064185309
22,0.34602940641853086,0.5,auto,sigmoid,False,0.3460294064185309
23,0.34602940641853086,0.5,auto,sigmoid,True,0.3460294064185309
24,0.37144819483252667,0.2,scale,poly,False,0.3974714038506414
25,0.37144819483252667,0.2,scale,poly,True,0.3974714038506414
26,0.4074187760236484,0.2,scale,rbf,False,0.4611493993514212
27,0.4074187760236484,0.2,scale,rbf,True,0.4611493993514212
28,0.457344820232884,0.2,scale,sigmoid,False,0.5225578297005237
29,0.457344820232884,0.2,scale,sigmoid,True,0.5225578297005237
30,0.34602940641853086,0.2,auto,poly,False,0.3460294064185309
31,0.34602940641853086,0.2,auto,poly,True,0.3460294064185309
32,0.34602940641853086,0.2,auto,rbf,False,0.3460294064185309
33,0.34602940641853086,0.2,auto,rbf,True,0.3460294064185309
34,0.34602940641853086,0.2,auto,sigmoid,False,0.3460294064185309
35,0.34602940641853086,0.2,auto,sigmoid,True,0.3460294064185309
