,score,activation,hidden_layer_sizes,learning_rate_init,max_iter,solver
0,0.6069375351518678,logistic,"(100, 25)",0.0001,400,adam
1,0.6097572667004187,logistic,"(100, 25)",0.0001,500,adam
2,0.5979638497208823,logistic,"(100, 25)",0.001,400,adam
3,0.6029351884641305,logistic,"(100, 25)",0.001,500,adam
4,0.6098596742959015,logistic,"(150, 35)",0.0001,400,adam
5,0.6101252180007635,logistic,"(150, 35)",0.0001,500,adam
6,0.6006517905540791,logistic,"(150, 35)",0.001,400,adam
7,0.5998672887596306,logistic,"(150, 35)",0.001,500,adam
8,0.6076453818942801,logistic,"(200, 50)",0.0001,400,adam
9,0.6072604586384199,logistic,"(200, 50)",0.0001,500,adam
10,0.6003311533178274,logistic,"(200, 50)",0.001,400,adam
11,0.5996466061138814,logistic,"(200, 50)",0.001,500,adam
