,score,activation,hidden_layer_sizes,max_iter,solver
0,0.5822943592784469,logistic,"(100,)",400,adam
1,0.5777337138791089,logistic,"(100,)",500,adam
2,0.5819900145062866,logistic,"(150,)",400,adam
3,0.5812581105587532,logistic,"(150,)",500,adam
4,0.5822818131649454,logistic,"(200,)",400,adam
5,0.5806746485215863,logistic,"(200,)",500,adam
6,0.5575156640103702,relu,"(100,)",400,adam
7,0.5591869326173765,relu,"(100,)",500,adam
8,0.5589538740692529,relu,"(150,)",400,adam
9,0.5576732331657956,relu,"(150,)",500,adam
10,0.5571830301176522,relu,"(200,)",400,adam
11,0.5551296362640273,relu,"(200,)",500,adam
12,0.5166637103273429,identity,"(100,)",400,adam
13,0.52201947718101,identity,"(100,)",500,adam
14,0.5187184753043504,identity,"(150,)",400,adam
15,0.5161953180546488,identity,"(150,)",500,adam
16,0.5102622492168358,identity,"(200,)",400,adam
17,0.5135910532846172,identity,"(200,)",500,adam
